time;stockInWarehouse;stockInFinalDest;stockOnRoads;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge
0,0; 0,0;0,0;0,0;0;0;0;0
3600,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
7200,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
10800,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
14400,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
18000,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
21600,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
25200,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
28800,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
32400,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
36000,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
39600,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
43200,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
46800,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
50400,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
54000,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
57600,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
61200,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
64800,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
68400,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
72000,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
75600,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
79200,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
82800,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
86400,0; 1611600,0000000014;265994,0;0,0;0;0;0;0
90000,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
93600,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
97200,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
100800,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
104400,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
108000,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
111600,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
115200,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
118800,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
122400,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
126000,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
129600,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
133200,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
136800,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
140400,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
144000,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
147600,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
151200,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
154800,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
158400,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
162000,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
165600,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
169200,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
172800,0; 2979034,0568771064;471234,5865000001;216426,22858379994;140;384;2576;119
176400,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
180000,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
183600,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
187200,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
190800,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
194400,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
198000,0; 2920346,817384003;524244,98815490026;131095,93194499981;98;284;1345;72
