time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
0,0; 0,0;0,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
1,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
2,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
3,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
4,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
5,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
6,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
7,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
8,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
9,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
10,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
11,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
12,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
13,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
14,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
15,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
16,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
17,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
18,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
19,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
20,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
21,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
22,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
23,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
24,0; 1611599,9999999988;269967,0;0;0;0;0;0; 0,0; 0,0; 0,0; 0,0;0,0
25,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
26,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
27,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
28,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
29,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
30,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
31,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
32,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
33,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
34,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
35,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
36,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
37,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
38,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
39,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
